Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Unique Received From Addresses,max value received ,avg val received,total transactions (including tnx to create contract,total Ether sent,total ether received, Total ERC20 tnxs, ERC20 uniq rec addr, ERC20 uniq rec contract addr, ERC20 min val rec, ERC20 uniq rec token name,FLAG
1093.71,704785.63,721,89,40,45.806785,6.589513,810,865.6910932,586.4666748,265.0,54.0,58.0,0.0,57.0,0
2958.44,1218216.73,94,8,5,2.613269,0.385685,102,3.08729702,3.085478209,8.0,5.0,7.0,0.0,7.0,0
2434.02,516729.3,2,10,10,1.165453,0.358906,12,3.58861565,3.58905665,8.0,7.0,8.0,0.0,8.0,0
15785.09,397555.9,25,9,7,500.0,99.48884,34,1750.0458620000004,895.399559,14.0,11.0,11.0,0.0,11.0,0
10707.77,382472.42,4598,20,7,12.802411,2.671095,4619,104.3188828,53.4218965,42.0,23.0,27.0,0.0,27.0,0
375.48,20926.68,2,3,2,4.813776,3.2349080000000003,5,9.70371586,9.70472386,0.0,0.0,0.0,0.0,0.0,0
629.44,8660.35,25,11,9,2.65,1.098115,36,12.0623941,12.079266,0.0,0.0,0.0,0.0,0.0,0
176.84,319828.05,213,5,3,2.0,0.891098,218,8.703392156,4.45548974,7.0,5.0,7.0,0.0,7.0,0
0.0,496.62,1,1,1,2.0,2.0,2,1.99938,2.0,0.0,0.0,0.0,0.0,0.0,0
3336.01,30572.7,8,3,2,40.0,16.7,11,149.077,50.1,1.0,1.0,1.0,600.0,1.0,0
12921.57,129540.15,10,10,2,1.014875,1.004819,20,10.04055439,10.04819041,0.0,0.0,0.0,0.0,0.0,0
1448.09,385961.98,8,246,4,81.38600000000002,3.381313,254,831.799,831.8030477000002,8.0,7.0,8.0,0.0,8.0,0
12431.27,198900.25,0,16,4,1.002069,0.769166,17,0.0,12.30665958,2.0,2.0,2.0,0.0753669999999999,2.0,0
5776.32,78197.58,7,2,2,0.265159,0.180079,9,0.262941117,0.36015854,3.0,2.0,2.0,0.001,2.0,0
3742.82,540061.9,32,24,11,1499.9995800000004,77.125266,56,3273.988723,1851.0063760000005,33.0,23.0,26.0,0.0,26.0,0
11.08,25802.32,34,3,3,1.0,0.530615,38,1.5051029580000002,1.591844363,4.0,0.0,0.0,0.0,0.0,0
4923.24,280803.43,57,57,2,0.277689,0.204013,114,11.6048114,11.6287514,0.0,0.0,0.0,0.0,0.0,0
11171.03,842599.05,26,11,6,34.94,16.564688,37,257.307,182.2115661,13.0,8.0,7.0,0.0,7.0,0
3.82,2318.5,3,2,1,19.995,13.8835,5,27.765677,27.767,0.0,0.0,0.0,0.0,0.0,0
1.11,329.78,2,2,2,56.95111800000001,50.5,4,100.9989738,101.0,0.0,0.0,0.0,0.0,0.0,0
6324.45,113840.02,0,18,5,12.782766,5.662421,19,0.0,101.9235724,2.0,2.0,2.0,2.0,2.0,0
41108.66,292841.02,7,7,4,17.949074,8.407243,14,157.09235049999995,58.85070376,1.0,1.0,1.0,0.0,1.0,0
64.3,712.88,5,4,4,5.0,2.1875,9,8.747754943,8.75,0.0,0.0,0.0,0.0,0.0,0
6928.28,892782.2,8,126,1,0.501254,0.342666,134,10.1,43.17587621,16.0,9.0,15.0,0.0,15.0,0
13339.9,226778.27,0,17,6,11.291416,4.860215,18,0.0,82.62366163,3.0,3.0,3.0,0.920501,3.0,0
